experimento,visibilidad_barrida,repeticion,semilla_alice,semilla_bob,distancia_km,mu,eficiencia_detector,conteos_oscuros_hz,visibilidad,claves_completadas,bits_tamizados,errores,qber,tiempo_hasta_ultima_clave_s,tasa_tamizada_bps,indicador_ideal_bps,clics_detector_0,clics_detector_1,clics_detector_2,clics_detector_total,rendimiento_fondo_pulso,referencia_tasa_tamizada_bps
visibilidad,0.8525454545454545,28,40256,40257,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,9,0.0087890625,0.006677999941,153339.32450539386,129275.37731702896,4621,2064,2179,8864,5.999998200501011e-07,150453.52108594033
visibilidad,0.8525454545454545,29,40258,40259,30.0,0.1,0.15,200.0,0.8525454545454545,4,1024,11,0.0107421875,0.006805999937,150455.48185111597,122612.75996429921,4697,2211,2083,8991,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,0,40300,40301,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,17,0.0166015625,0.006677999941,153339.32450539386,112961.67630523643,4653,2045,2062,8760,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,1,40302,40303,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,10,0.009765625,0.00670999994,152608.04905461744,126489.43346365567,4691,2079,2163,8933,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,2,40304,40305,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,18,0.017578125,0.006645999942,154077.64203077086,111605.56990566028,4689,2076,2013,8778,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,3,40306,40307,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,13,0.0126953125,0.00670999994,152608.04905461744,120246.75440070558,4687,2132,2076,8895,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,4,40308,40309,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,21,0.0205078125,0.006677999941,153339.32450539386,105551.14321926313,4667,2031,2044,8742,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,5,40310,40311,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,10,0.009765625,0.00670999994,152608.04905461744,126489.43346365567,4783,2057,2154,8994,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,6,40312,40313,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,9,0.0087890625,0.00670999994,152608.04905461744,128658.86286369657,4671,2069,2064,8804,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,7,40314,40315,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,7,0.0068359375,0.006645999942,154077.64203077086,134443.03245625252,4738,1989,2021,8748,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,8,40316,40317,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,11,0.0107421875,0.006645999942,154077.64203077086,125564.61689364495,4667,2122,2060,8849,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,9,40318,40319,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,13,0.0126953125,0.006677999941,153339.32450539386,120822.95926062949,4701,2018,2015,8734,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,10,40320,40321,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,11,0.0107421875,0.00670999994,152608.04905461744,124366.98123016924,4690,2024,2144,8858,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,11,40322,40323,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,9,0.0087890625,0.00670999994,152608.04905461744,128658.86286369657,4753,2103,1995,8851,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,12,40324,40325,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,7,0.0068359375,0.0065819999439999995,155575.81414649737,135750.2876798199,4656,2041,2085,8782,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,13,40326,40327,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,14,0.013671875,0.00670999994,152608.04905461744,118242.46237185615,4743,2105,2180,9028,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,14,40328,40329,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,9,0.0087890625,0.0067419999389999995,151883.71540565212,128048.2008167921,4756,2079,2169,9004,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,15,40330,40331,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,15,0.0146484375,0.006645999942,154077.64203077086,117391.51145067452,4560,2090,2045,8695,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,16,40332,40333,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,13,0.0126953125,0.006645999942,154077.64203077086,121404.71288826398,4635,2079,2055,8769,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,17,40334,40335,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,13,0.0126953125,0.006613999943,154823.10384410596,121992.0958221165,4566,2115,2101,8782,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,18,40336,40337,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,16,0.015625,0.006645999942,154077.64203077086,115433.65009525276,4648,2036,2033,8717,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,19,40338,40339,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,19,0.0185546875,0.006677999941,153339.32450539386,109206.2700191074,4622,2038,2036,8696,5.999998200501011e-07,150453.52108594033
visibilidad,0.8688181818181818,20,40340,40341,30.0,0.1,0.15,200.0,0.8688181818181818,4,1024,11,0.0107421875,0.006677999941,153339.32450539386,124962.92961443988,4699,2129,2094,8922,5.999998200501011e-07,150453.52108594033
